bayes,locus,p.value,adj.p.value
0.5,ribC-Rv1413,1.1707487982515197e-5,2.3755309918010488e-4
0.5,kasB-accD6,1.1707487982515197e-5,2.3755309918010488e-4
0.5,papA5-mas,1.1707487982515197e-5,2.3755309918010488e-4
0.5,echA5-mmpL5,1.1707487982515197e-5,2.3755309918010488e-4
0.5,phoH2-Rv1096,1.1707487982515197e-5,2.3755309918010488e-4
0.5,vapC46,1.1707487982515197e-5,2.3755309918010488e-4
0.5,parE1,1.1707487982515197e-5,2.3755309918010488e-4
0.5,arsB2-Rv3579c,1.1707487982515197e-5,2.3755309918010488e-4
0.5,Rv0919-argT,1.1707487982515197e-5,2.3755309918010488e-4
0.4861111111111111,prpC,2.343762100942559e-5,4.737295211750694e-4
0.4810126582278481,Rv2510c,3.553007474765835e-5,7.153843896307363e-4
0.48,Rv2766c,3.781722423745748e-5,7.585178884409575e-4
0.4782608695652174,pepR,4.2663263750575275e-5,8.492098316892075e-4
0.4782608695652174,B55-Rv0610c,4.2663263750575275e-5,8.492098316892075e-4
0.47368421052631576,Rv0383c,5.8695955223675433e-05,0.0011639141121058366
0.4722222222222222,Rv2250A,6.408547580361024e-5,0.0012612310745560135
0.4722222222222222,whiB4-ponA2,6.408547580361024e-5,0.0012612310745560135
0.4714285714285714,cinA,6.81389387607867e-5,0.0013359825633435145
0.4705882352941176,greA-Rv1081c,7.226033685137079e-5,0.0014010476422849113
0.4705882352941176,cspA-Rv3649,7.226033685137079e-5,0.0014010476422849113
0.4705882352941176,vapB20,7.226033685137079e-5,0.0014010476422849113
0.4666666666666667,moeW-mmpL9,9.361461377110913e-5,0.0017951373739624773
0.4666666666666667,esxL-Rv1199c,9.361461377110913e-5,0.0017951373739624773
0.4666666666666667,upp,9.361461377110913e-5,0.0017951373739624773
0.4642857142857143,Rv0561c,1.076771863768311e-4,0.0020497820752098574
0.4642857142857143,Rv1488,1.076771863768311e-4,0.0020497820752098574
0.4626865671641791,mesT-Rv3177,1.2110569773771118e-4,0.0022970591581772393
0.4615384615384616,thyA,1.3097893711955244e-4,0.002457615540576548
0.4615384615384616,Rv3677c,1.3097893711955244e-4,0.002457615540576548
0.4615384615384616,nrdF1,1.3097893711955244e-4,0.002457615540576548
0.4605263157894737,mapA,1.3387750280957622e-4,0.0025030311686004697
0.46,Rv2258c,1.4121449721249402e-4,0.0026308110067879225
0.4583333333333333,Rv2136c,1.5853795621956213e-4,0.0029326720876657517
0.4583333333333333,Rv2651c-Rv2652c,1.5853795621956213e-4,0.0029326720876657517
0.4545454545454546,Rv1303,2.0924021075108268e-4,0.0037257568138840745
0.4545454545454546,erg3,2.0924021075108268e-4,0.0037257568138840745
0.4545454545454546,PE16-Rv1431,2.0924021075108268e-4,0.0037257568138840745
0.4545454545454546,Rv0043c-Rv0044c,2.0924021075108268e-4,0.0037257568138840745
0.4545454545454546,dhaA-hisS,2.0924021075108268e-4,0.0037257568138840745
0.4545454545454546,Rv2640c-cadI,2.0924021075108268e-4,0.0037257568138840745
0.4545454545454546,Rv0940c,2.0924021075108268e-4,0.0037257568138840745
0.4545454545454546,echA9-Rv1072,2.0924021075108268e-4,0.0037257568138840745
0.4545454545454546,Rv1985c,2.0924021075108268e-4,0.0037257568138840745
0.4545454545454546,Rv1593c,2.0924021075108268e-4,0.0037257568138840745
0.4545454545454546,cobQ2,2.0924021075108268e-4,0.0037257568138840745
0.4509803921568627,Rv2551c,2.518355393682503e-4,0.004453915704705373
0.4509803921568627,Rv0538,2.518355393682503e-4,0.004453915704705373
0.45,Rv0008c,2.7409561806612803e-4,0.0048150689952220814
0.45,Rv0150c,2.7409561806612803e-4,0.0048150689952220814
0.4489795918367347,Rv1711,2.871391636714016e-4,0.005027336193377216
0.4444444444444444,pitB,3.9520131580395024e-4,0.006588786268260126
0.4444444444444444,PPE22-PPE23,3.9520131580395024e-4,0.006588786268260126
0.4444444444444444,Rv1261c,3.9520131580395024e-4,0.006588786268260126
0.4444444444444444,Rv3559c,3.9520131580395024e-4,0.006588786268260126
0.4444444444444444,lppZ,3.9520131580395024e-4,0.006588786268260126
0.4444444444444444,Rv0348,3.9520131580395024e-4,0.006588786268260126
0.4444444444444444,Rv1176c,3.9520131580395024e-4,0.006588786268260126
0.4444444444444444,glnT-Rv1019,3.9520131580395024e-4,0.006588786268260126
0.4444444444444444,Rv0612,3.9520131580395024e-4,0.006588786268260126
0.4444444444444444,Rv3453-Rv3454,3.9520131580395024e-4,0.006588786268260126
0.4444444444444444,Rv1513,3.9520131580395024e-4,0.006588786268260126
0.4444444444444444,Rv3767c-Rv3768,3.9520131580395024e-4,0.006588786268260126
0.4444444444444444,lepB,3.9520131580395024e-4,0.006588786268260126
0.4444444444444444,lprO-Rv0180c,3.9520131580395024e-4,0.006588786268260126
0.4444444444444444,blaI-Rv1847,3.9520131580395024e-4,0.006588786268260126
