plate,strain,replicate,isoniazid,cfus,rfus,exp,rep.label,rfus.per.cfu,inh.label,fc
2,ohrR-s5,b,1,8000000,36398.5,1,ohrR-s5-b,0.0045498125,"1 µg/mL
isoniazid",0.7302959927368669
2,ohrR-s5,c,1,8000000,36377.5,1,ohrR-s5-c,0.0045471875,"1 µg/mL
isoniazid",0.7298746507626791
2,ohrR-L10,a,1,8000000,42251.5,1,ohrR-L10-a,0.0052814375,"1 µg/mL
isoniazid",0.8477300201140632
2,ohrR-L10,b,1,8000000,36643.5,1,ohrR-L10-b,0.0045804375,"1 µg/mL
isoniazid",0.7352116491023911
2,ohrR-L10,c,1,8000000,41696.5,1,ohrR-L10-c,0.0052120625,"1 µg/mL
isoniazid",0.836594553653386
1,nb-wt,b,5,8000000,48722.5,1,nb-wt-b,0.0060903125,"5 µg/mL
isoniazid",0.9653180908604602
1,nb-wt,c,5,8000000,49224.5,1,nb-wt-c,0.0061530625,"5 µg/mL
isoniazid",0.9752640025360093
1,ohrR-anc,a,5,8000000,37379.5,1,ohrR-anc-a,0.0046724375,"5 µg/mL
isoniazid",0.7405840746537754
1,ohrR-anc,b,5,8000000,41176.5,1,ohrR-anc-b,0.0051470625,"5 µg/mL
isoniazid",0.8158124145582787
1,ohrR-s5,a,5,8000000,41311.5,1,ohrR-s5-a,0.0051639375,"5 µg/mL
isoniazid",0.8184871119212253
1,ohrR-s5,b,5,8000000,35972.5,1,ohrR-s5-b,0.0044965625,"5 µg/mL
isoniazid",0.7127077843599549
1,ohrR-s5,c,5,8000000,36079.5,1,ohrR-s5-c,0.0045099375,"5 µg/mL
isoniazid",0.7148277296772533
1,ohrR-L10,a,5,8000000,41382.5,1,ohrR-L10-a,0.0051728125,"5 µg/mL
isoniazid",0.8198938046084046
1,ohrR-L10,b,5,8000000,36640.5,1,ohrR-L10-b,0.0045800625,"5 µg/mL
isoniazid",0.7259425831632754
1,ohrR-L10,c,5,8000000,41399.5,1,ohrR-L10-c,0.0051749375,"5 µg/mL
isoniazid",0.8202306183504052
2,nb-wt,b,5,8000000,52403.5,1,nb-wt-b,0.0065504375,"5 µg/mL
isoniazid",1.0382481722901353
2,nb-wt,c,5,8000000,51541.5,1,nb-wt-c,0.0064426875,"5 µg/mL
isoniazid",1.0211697343133952
2,ohrR-anc,a,5,8000000,40603.5,1,ohrR-anc-a,0.0050754375,"5 µg/mL
isoniazid",0.8044598101955501
2,ohrR-anc,b,5,8000000,44186.5,1,ohrR-anc-b,0.0055233125,"5 µg/mL
isoniazid",0.8754482594654568
2,ohrR-s5,a,5,8000000,42125.5,1,ohrR-s5-a,0.0052656875,"5 µg/mL
isoniazid",0.83461454639114
2,ohrR-s5,b,5,8000000,38471.5,1,ohrR-s5-b,0.0048089375,"5 µg/mL
isoniazid",0.7622194044340539
2,ohrR-s5,c,5,8000000,38123.5,1,ohrR-s5-c,0.0047654375,"5 µg/mL
isoniazid",0.7553246290095694
2,ohrR-L10,a,5,8000000,44549.5,1,ohrR-L10-a,0.0055686875,"5 µg/mL
isoniazid",0.8826402234858242
2,ohrR-L10,b,5,8000000,38972.5,1,ohrR-L10-b,0.0048715625,"5 µg/mL
isoniazid",0.7721455035365443
2,ohrR-L10,c,5,8000000,42552.5,1,ohrR-L10-c,0.0053190625,"5 µg/mL
isoniazid",0.8430745150872745
1,nb-wt,b,10,8000000,50472.5,1,nb-wt-b,0.0063090624999999996,"10 µg/mL
isoniazid",0.971101213094883
1,nb-wt,c,10,8000000,51281.5,1,nb-wt-c,0.0064101875,"10 µg/mL
isoniazid",0.9866665383986378
1,ohrR-anc,a,10,8000000,39703.5,1,ohrR-anc-a,0.0049629375,"10 µg/mL
isoniazid",0.7639034526546672
1,ohrR-anc,b,10,8000000,42416.5,1,ohrR-anc-b,0.0053020625,"10 µg/mL
isoniazid",0.8161021270045888
1,ohrR-s5,a,10,8000000,42757.5,1,ohrR-s5-a,0.0053446875,"10 µg/mL
isoniazid",0.8226630366814495
1,ohrR-s5,b,10,8000000,37259.5,1,ohrR-s5-b,0.0046574375,"10 µg/mL
isoniazid",0.7168803932697766
1,ohrR-s5,c,10,8000000,37047.5,1,ohrR-s5-c,0.0046309375,"10 µg/mL
isoniazid",0.7128014699516109
1,ohrR-L10,a,10,8000000,42620.5,1,ohrR-L10-a,0.0053275625,"10 µg/mL
isoniazid",0.8200271286881067
1,ohrR-L10,b,10,8000000,39958.5,1,ohrR-L10-b,0.0049948125,"10 µg/mL
isoniazid",0.7688097047590645
1,ohrR-L10,c,10,8000000,41989.5,1,ohrR-L10-c,0.0052486875,"10 µg/mL
isoniazid",0.8078865597552646
2,nb-wt,b,10,8000000,53183.5,1,nb-wt-b,0.0066479375,"10 µg/mL
isoniazid",1.0232614070361428
2,nb-wt,c,10,8000000,52960.5,1,nb-wt-c,0.0066200625,"10 µg/mL
isoniazid",1.0189708414703365
2,ohrR-anc,a,10,8000000,40837.5,1,ohrR-anc-a,0.0051046875,"10 µg/mL
isoniazid",0.7857218443659871
2,ohrR-anc,b,10,8000000,43170.5,1,ohrR-anc-b,0.0053963125,"10 µg/mL
isoniazid",0.8306092410701402
2,ohrR-s5,a,10,8000000,43975.5,1,ohrR-s5-a,0.0054969375,"10 µg/mL
isoniazid",0.846097605556571
2,ohrR-s5,b,10,8000000,40552.5,1,ohrR-s5-b,0.0050690625,"10 µg/mL
isoniazid",0.7802383861316606
