colony.label,r,cs,toa,line,experiment,time.point,treatment,Cluster,colony,strain
D.I.post.plus_11_2,1714.591072031853,16739.913490452873,55.08729886903867,D,I,post,plus,3,11,D_plus_11
D.I.post.plus_12_2,2237.7676369890214,25763.4072848637,52.29742640593801,D,I,post,plus,2,12,D_plus_12
D.I.post.plus_13_2,2347.3014029576566,23799.677764266646,54.57732218223532,D,I,post,plus,3,13,D_plus_13
D.I.post.plus_14_2,2329.587662646509,26473.992841918494,52.74740583547038,D,I,post,plus,2,14,D_plus_14
D.I.post.plus_15_2,3813.36931397946,44385.1152669992,52.10743509124657,D,I,post,plus,1,15,D_plus_15
D.I.post.plus_16_2,914.3618798248498,8935.774985026921,55.0073025260107,D,I,post,plus,3,16,D_plus_16
D.I.post.plus_17_2,2677.043691138865,29537.558681777795,52.82740217849835,D,I,post,plus,1,17,D_plus_17
D.I.post.plus_19_2,4781.132126979721,58997.19277929237,50.91748948870543,D,I,post,plus,1,19,D_plus_19
D.I.post.plus_20_2,186.14932365492362,1861.476196221065,56.087253156888366,D,I,post,plus,3,20,D_plus_20
D.I.post.plus_21_2,2099.3176576195688,22148.808161040717,54.74731441116977,D,I,post,plus,3,21,D_plus_21
D.I.post.plus_22_2,1803.114328912996,19467.24452503558,52.90739852152633,D,I,post,plus,3,22,D_plus_22
D.I.post.plus_23_2,2136.44466458229,24980.29856341166,51.30747166096681,D,I,post,plus,2,23,D_plus_23
D.I.post.plus_24_2,2016.9969817876781,19230.35379458106,55.08729886903867,D,I,post,plus,3,24,D_plus_24
D.I.post.plus_26_2,1076.1534193734094,10664.254392440342,54.30733452451591,D,I,post,plus,3,26,D_plus_26
D.I.post.plus_28_2,3488.6893910910503,39070.12468564827,53.987349152404,D,I,post,plus,1,28,D_plus_28
E.I.post.plus_3_2,953.4173004190023,10996.388902887993,53.647364694535106,E,I,post,plus,3,3,E_plus_3
E.I.post.plus_4_2,346.3734082178012,3445.5892310696545,55.177294754945144,E,I,post,plus,3,4,E_plus_4
E.I.post.plus_5_2,643.0526288483125,7471.854182426683,52.43742000623697,E,I,post,plus,3,5,E_plus_5
