Sample.ID,lineage,major.lineage,Rifampicin,Isoniazid,Ethambutol,Streptomycin
SRR5065560,2.1,2,1,1,0,1
SRR5073602,2.1,2,0,1,1,1
SRR5065368,2.1,2,0,0,0,0
SRR5067458,2.1,2,1,1,0,1
SRR5065616,2.1,2,0,0,0,1
SRR5073882,2.1,2,0,0,0,1
SRR5074068,2.1,2,0,0,0,1
SRR5067405,2.1,2,0,0,0,1
SRR5067433,2.1,2,0,1,0,1
SRR5065579,2.1,2,0,0,0,1
SRR5065301,2.1,2,0,0,0,0
SRR5067510,2.1,2,1,1,0,1
SRR5065467,2.1,2,0,0,0,1
SRR5073710,2.1,2,0,0,0,1
SRR5065292,2.1,2,0,1,0,0
SRR5065297,2.1,2,0,0,0,0
SRR5074093,2.1,2,0,0,0,0
SRR5065283,2.1,2,0,0,0,1
SRR26399205,2.1,2,0,0,0,0
SRR26399799,2.1,2,0,1,0,0
SRR5065308,2.1,2,0,0,0,0
SRR5065294,2.1,2,0,1,0,0
SRR5074174,2.1,2,0,0,0,1
SRR5073739,2.1,2,0,1,0,0
SRR5073637,2.1,2,0,1,0,1
SRR5074136,2.1,2,0,0,0,0
SRR5074054,2.1,2,0,1,0,1
SRR5067461,2.1,2,0,1,0,1
SRR5073838,2.1,2,0,0,0,1
SRR5067554,2.1,2,0,0,0,0
SRR26399308,2.1,2,0,1,0,0
SRR5065411,2.1,2,0,1,0,0
SRR5067475,2.1,2,0,0,0,0
SRR26399189,2.1,2,0,0,0,0
SRR5067285,2.1,2,0,0,0,0
SRR5073995,2.1,2,0,0,0,1
SRR5073902,2.1,2,0,0,0,1
SRR5065619,2.1,2,0,0,0,1
SRR5067683,2.1,2,0,1,0,1
SRR5065604,2.1,2,1,0,0,0
SRR26399309,2.1,2,1,1,0,0
SRR5065563,2.1,2,0,0,0,0
SRR5073499,2.1,2,0,0,0,0
SRR5074182,2.1,2,0,0,0,0
SRR5065418,2.1,2,0,0,0,0
SRR5065678,2.1,2,0,0,0,0
SRR5073656,2.1,2,0,0,0,0
SRR5065487,2.1,2,0,0,0,0
SRR5073921,2.1,2,0,0,0,0
SRR5065278,2.1,2,0,0,0,0
SRR5067713,2.1,2,0,0,0,0
SRR5067408,2.1,2,0,1,0,1
SRR5073883,2.1,2,0,0,1,0
SRR26399834,2.1,2,0,1,0,0
SRR5065441,4,4,0,0,0,1
SRR5067550,4,4,0,0,0,1
SRR5065617,4,4,0,0,0,1
SRR5073866,4,4,0,0,0,1
SRR5067642,4,4,0,0,0,1
SRR5067580,4,4,0,0,0,0
SRR5073761,2.1,2,0,0,0,0
SRR5073548,2.1,2,0,0,0,1
SRR5065551,2.1,2,0,0,0,0
SRR5065382,2.1,2,0,0,0,0
SRR5065371,2.2.2,2,1,1,1,1
SRR5073562,2.2.2,2,0,0,0,0
SRR5074122,2.2.2,2,0,1,0,0
SRR5065328,2.2.2,2,0,0,0,1
SRR5073643,2.2.2,2,0,0,0,0
SRR5067716,2.2.2,2,0,0,0,0
SRR5065580,2.2.2,2,0,0,0,0
SRR26399821,2.2.2,2,0,0,0,0
SRR26399702,2.2.2,2,0,0,0,0
