rv.number,locus
Rv2627c-Rv2628,Rv2627c-Rv2628
Rv2712c-Rv2713,Rv2712c-sthA
Rv2717c-nrdR,Rv2717c-nrdR
Rv2724c-Rv2725c,fadE20-hflX
Rv2807-Rv2808,Rv2807-Rv2808
Rv2904c-Rv2905,rplS-lppW
Rv2953-Rv2954c,Rv2953-Rv2954c
Rv2962c-Rv2963,Rv2962c-Rv2963
Rv3032A-Rv3033,Rv3032A-Rv3033
Rv3063-Rv3064c,cstA-Rv3064c
Rv3066-Rv3067,Rv3066-Rv3067
Rv3290c-Rv3291c,lat-lrpA
Rv3435c-Rv3436c,Rv3435c-glmS
Rv3465-Rv3466,rmlC-Rv3466
Rv3515c-Rv3516,fadD19-echA19
Rv3549c-Rv3550,Rv3549c-echA20
EBG00000313318-Rv3662c,MTS2823-Rv3662c
Rv3694c-Rv3695,Rv3694c-Rv3695
Rv3771c-argU,Rv3771c-argU
Rv3651-EBG00000313385,Rv3651-mpr18
Rv0487-Rv0488,Rv0487-Rv0488
Rv0537c-Rv0538,Rv0537c-Rv0538
Rv0575c-Rv0576,Rv0575c-Rv0576
Rv0946c-Rv0947c,pgi-Rv0947c
Rv1363c-EBG00000313340,Rv1363c-mcr15
Rv1364c-Rv1365c,Rv1364c-rsfA
Rv1399c-Rv1400c,nlhH-lipI
Rv1616-Rv1617,Rv1616-pykA
Rv1713-Rv1714,engA-Rv1714
Rv1947-Rv1948c,Rv1947-Rv1948c
Rv2266-Rv2267c,cyp124-Rv2267c
Rv2307B-Rv2307D,Rv2307B-Rv2307D
Rv2511-hisT,orn-hisT
Rv2883c-Rv2884,pyrH-Rv2884
Rv3177-Rv3178,Rv3177-Rv3178
Rv3194c-Rv3195,Rv3194c-Rv3195
Rv3262-Rv3263,fbiB-Rv3263
infA-Rv3463,infA-Rv3463
Rv2022c-Rv2023c,Rv2022c-Rv2023c
Rv0331-Rv0332,Rv0331-Rv0332
Rv0596c-Rv0597c,vapB4-Rv0597c
Rv1050-Rv1051c,Rv1050-Rv1051c
PE12-Rv1173,PE12-fbiC
PE_PGRS23-Rv1244,PE_PGRS23-lpqZ
Rv1556-Rv1557,Rv1556-mmpL6
Rv1721c-Rv1722,vapB12-Rv1722
Rv3223c-Rv3224,sigH-Rv3224
Rv3481c-Rv3482c,Rv3481c-Rv3482c
Rv3871-PE35,eccCb1-PE35
Rv0844c-Rv0845,narL-Rv0845
Rv0103c-Rv0104,ctpB-Rv0104
Rv2304c-Rv2305,Rv2304c-Rv2305
PE29-Rv3023c,PE29-Rv3023c
Rv3059-Rv3060c,cyp136-Rv3060c
Rv3898c-Rv3899c,Rv3898c-Rv3899c
Rv0920c-Rv0921,Rv0920c-Rv0921
Rv1046c-Rv1047,Rv1046c-Rv1047
Rv1194c-PE13,Rv1194c-PE13
Rv1199c-Rv1200,Rv1199c-Rv1200
Rv1719-proT,Rv1719-proT
Rv3023c-Rv3024c,Rv3023c-trmU
Rv0740-Rv0741,Rv0740-Rv0741
wag22-Rv1760,wag22-Rv1760
Rv0755A-thrV,Rv0755A-thrV
Rv1442-Rv1443c,bisC-Rv1443c
Rv3176c-Rv3177,mesT-Rv3177
pheU-PE_PGRS12,pheU-PE_PGRS12
PPE33-Rv1810,PPE33-Rv1810
Rv3191c-metU,Rv3191c-metU
Rv0414c-Rv0415,thiE-thiO
thrT-metT,thrT-metT
Rv1051c-mpr5,Rv1051c-mpr5
Rv2787-Rv2788,Rv2787-sirR
Rv3052c-nrdH,nrdI-nrdH
PPE57-PPE58,PPE57-PPE58
Rv3646c-Rv3647c,topA-Rv3647c
Rv2100-Rv2101,Rv2100-helZ
Rv2324-Rv2325c,Rv2324-Rv2325c
Rv1213-PE14,glgC-PE14
PPE35-Rv1919c,PPE35-Rv1919c
Rv1954c-Rv1955,Rv1954A-higB
Rv2421c-Rv2422,nadD-Rv2422
Rv2684-Rv2685,arsA-arsB1
Rv2913c-Rv2914c,Rv2913c-pknI
Rv3062-Rv3063,ligB-cstA
Rv3375-Rv3376,amiD-Rv3376
Rv3765c-Rv3766,tcrX-Rv3766
Rv3809c-Rv3810,glf-pirG
PE2-Rv0153c,PE2-ptbB
Rv1929c-Rv1930c,Rv1929c-Rv1930c
Rv2589-Rv2590,gabT-fadD9
Rv3485c-Rv3486,Rv3485c-Rv3486
Rv3675-Rv3676,Rv3675-crp
Rv0753c-PE_PGRS11,mmsA-PE_PGRS11
Rv2689c-Rv2690c,Rv2689c-Rv2690c
Rv0192A-Rv0193c,Rv0192A-Rv0193c
Rv0260c-Rv0261c,Rv0260c-narK3
Rv2523c-Rv2524c,acpS-fas
Rv3333c-Rv3334,Rv3333c-Rv3334
Rv3356c-Rv3357,folD-relJ
Rv1034c-Rv1035c,Rv1034c-Rv1035c
Rv1047-Rv1048c,Rv1047-Rv1048c
Rv1717-Rv1718,Rv1717-Rv1718
Rv3242c-Rv3243c,Rv3242c-Rv3243c
Rv3681c-Rv3682,whiB4-ponA2
Rv3483c-Rv3484,Rv3483c-cpsA
PPE65-PE32,PPE65-PE32
Rv3138-Rv3139,pflA-fadE24
Rv1984c-Rv1985c,cfp21-Rv1985c
Rv3218-Rv3219,Rv3218-whiB1
Rv3846-Rv3847,sodA-Rv3847
greA-Rv1081c,greA-Rv1081c
Rv1443c-Rv1444c,Rv1443c-Rv1444c
Rv2599-Rv2600,Rv2599-Rv2600
Rv2662-Rv2663,Rv2662-Rv2663
Rv2673-Rv2674,aftC-msrB
Rv3901c-Rv3902c,Rv3901c-Rv3902c
Rv2383c-Rv2384,mbtB-mbtA
Rv1440-PE_PGRS26,secG-PE_PGRS26
Rv2929-Rv2930,Rv2929-fadD26
Rv3271c-Rv3272,Rv3271c-Rv3272
Rv0006-Rv0007,gyrA-Rv0007
Rv0105c-Rv0106,rpmB1-Rv0106
Rv0154c-Rv0155,fadE2-pntAa
Rv0380c-Rv0381c,Rv0380c-Rv0381c
Rv0655-Rv0656c,mkl-vapC6
Rv0711-Rv0712,atsA-Rv0712
Rv0821c-Rv0822c,phoY2-Rv0822c
PE_PGRS22-Rv1092c,PE_PGRS22-coaA
Rv1094-Rv1095,desA2-phoH2
Rv1174c-Rv1175c,TB8.4-fadH
Rv1606-Rv1607,hisI-chaA
Rv1747-Rv1748,Rv1747-Rv1748
Rv2005c-Rv2006,Rv2005c-otsB1
Rv2714-Rv2715,Rv2714-Rv2715
Rv3329-Rv3330,Rv3329-dacB1
Rv3704c-Rv3705c,gshA-Rv3705c
Rv3770B-Rv3771c,Rv3770B-Rv3771c
Rv3875-Rv3876,esxA-espI
relB-Rv1248c,relB-Rv1248c
Rv0111-Rv0112,Rv0111-gca
Rv2422-Rv2423,Rv2422-Rv2423
Rv2558-Rv2559c,Rv2558-Rv2559c
Rv2578c-Rv2579,Rv2578c-dhaA
Rv0049-Rv0050,Rv0049-ponA1
Rv0815c-Rv0816c,cysA2-thiX
PE_PGRS25-Rv1397c,PE_PGRS25-vapC10
PPE23-Rv1706A,PPE23-Rv1706A
Rv2208-Rv2209,cobS-Rv2209
PE_PGRS45-Rv2616,PE_PGRS45-Rv2616
Rv2710-Rv2711,sigB-ideR
Rv3642c-Rv3643,Rv3642c-Rv3643
Rv3668c-Rv3669,Rv3668c-Rv3669
Rv0403c-Rv0404,mmpS1-fadD30
Rv0438c-Rv0439c,moeA2-Rv0439c
Rv0468-Rv0469,fadB2-umaA
PE_PGRS27-Rv1451,PE_PGRS27-ctaB
Rv1659-Rv1660,argH-pks10
Rv1746-Rv1747,pknF-Rv1747
Rv1963c-Rv1964,mce3R-yrbE3A
Rv2401A-Rv2402,Rv2401A-Rv2402
Rv2665-Rv2666,Rv2665-Rv2666
Rv2737c-Rv2737A,recA-Rv2737A
Rv2873-Rv2874,mpt83-dipZ
Rv2956-Rv2957,Rv2956-Rv2957
Rv3372-Rv3373,otsB2-echA18
Rv1429-PE16,Rv1429-PE16
Rv1914c-Rv1915,Rv1914c-aceAa
Rv0026-Rv0027,Rv0026-Rv0027
Rv0045c-Rv0046c,Rv0045c-ino1
Rv0052-Rv0053,Rv0052-rpsF
Rv0198c-Rv0199,zmp1-Rv0199
Rv0327c-Rv0328,cyp135A1-Rv0328
Rv0767c-Rv0768,Rv0767c-aldA
PE_PGRS14-Rv0835,PE_PGRS14-lpqQ
PE_PGRS15-Rv0873,PE_PGRS15-fadE10
Rv0874c-Rv0875c,Rv0874c-Rv0875c
Rv0950c-Rv0951,Rv0950c-sucC
Rv1296-Rv1297,thrB-rho
Rv1405c-Rv1406,Rv1405c-fmt
Rv1660-Rv1661,pks10-pks7
Rv1767-PE_PGRS31,Rv1767-PE_PGRS31
Rv1812c-Rv1813c,Rv1812c-Rv1813c
Rv1866-Rv1867,Rv1866-Rv1867
Rv1872c-Rv1873,lldD2-Rv1873
Rv1881c-Rv1882c,lppE-Rv1882c
Rv2307D-Rv2308,Rv2307D-Rv2308
Rv2435c-Rv2436,Rv2435c-rbsK
nrdR-Rv2719c,nrdR-Rv2719c
Rv2945c-Rv2946c,lppX-pks1
Rv2993c-Rv2994,Rv2993c-Rv2994
Rv3000-Rv3001c,Rv3000-ilvC
Rv3025c-Rv3026c,iscS-Rv3026c
Rv3029c-Rv3030,fixA-Rv3030
Rv3234c-Rv3235,tgs3-Rv3235
PE_PGRS53-PE_PGRS54,PE_PGRS53-PE_PGRS54
Rv3525c-Rv3526,Rv3525c-kshA
Rv3666c-Rv3667,dppA-acs
Rv3684-proY,Rv3684-proY
Rv0301-Rv0302,vapC2-Rv0302
Rv1490-Rv1491c,Rv1490-Rv1491c
Rv2068c-Rv2069,blaC-sigC
Rv2747-Rv2748c,argA-ftsK
Rv0094c-Rv0095c,Rv0094c-Rv0095c
Rv0186-Rv0186A,bglS-mymT
Rv0497-Rv0498,Rv0497-Rv0498
Rv0565c-Rv0566c,Rv0565c-Rv0566c
Rv0887c-Rv0888,Rv0887c-Rv0888
PE_PGRS16-PE_PGRS17,PE_PGRS16-PE_PGRS17
Rv1144-Rv1145,Rv1144-mmpL13a
Rv1739c-Rv1740,Rv1739c-vapB34
Rv2201-Rv2202c,asnB-adoK
Rv2338c-Rv2339,moeW-mmpL9
Rv2448c-Rv2449c,valS-Rv2449c
Rv2856-Rv2857c,nicT-Rv2857c
Rv3424c-PPE57,Rv3424c-PPE57
Rv3546-Rv3547,fadA5-ddn
Rv3573c-Rv3574,fadE34-kstR
Rv0871-PE_PGRS15,cspB-PE_PGRS15
Rv0273c-Rv0274,Rv0273c-Rv0274
Rv0128-Rv0129c,Rv0128-fbpC
Rv0194-Rv0195,Rv0194-Rv0195
Rv2517c-Rv2518c,Rv2517c-ldtB
Rv3430c-Rv3431c,Rv3430c-Rv3431c
Rv1734c-Rv1735c,Rv1734c-Rv1735c
Rv1077-Rv1078,cbs-pra
Rv1104-Rv1105,Rv1104-Rv1105
Rv1398c-Rv1399c,vapB10-nlhH
PPE22-PPE23,PPE22-PPE23
Rv2124c-Rv2125,metH-Rv2125
Rv2898c-Rv2899c,Rv2898c-fdhD
Rv3016-Rv3017c,lpqA-esxQ
Rv3202c-Rv3203,Rv3202c-lipV
Rv3335c-Rv3336c,Rv3335c-trpS
PE_PGRS58-Rv3591c,PE_PGRS58-Rv3591c
ASdes-Rv0825c,ASdes-Rv0825c
Rv2900c-Rv2901c,fdhF-Rv2901c
Rv0412c-Rv0413,Rv0412c-mutT3
Rv1228-Rv1229c,lpqX-mrp
Rv2513-Rv2514c,Rv2513-Rv2514c
PE32-Rv3623,PE32-lpqG
Rv0829-Rv0830,Rv0829-Rv0830
Rv2664-Rv2665,Rv2664-Rv2665
Rv2997-Rv2998,Rv2997-Rv2998
PPE9-Rv0389,PPE9-purT
Rv0401-Rv0402c,Rv0401-mmpL1
def-Rv0430,def-Rv0430
Rv0845-Rv0846c,Rv0845-Rv0846c
Rv1765A-Rv1766,Rv1765A-Rv1766
Rv0024-Rv0025,Rv0024-Rv0025
Rv0077c-Rv0078,Rv0077c-Rv0078
Rv0102-Rv0103c,Rv0102-ctpB
Rv1053c-Rv1054,Rv1053c-Rv1054
Rv2077A-Rv2078,Rv2077A-Rv2078
Rv3089-Rv3090,fadD13-Rv3090
Rv3840-Rv3841,Rv3840-bfrB
Rv3919c-Rv3920c,gid-Rv3920c
Rv1640c-Rv1641,lysX-infC
Rv2335-Rv2336,cysE-Rv2336
Rv0028-Rv0029,Rv0028-Rv0029
Rv0224c-Rv0225,Rv0224c-Rv0225
Rv0417-Rv0418,thiG-lpqL
Rv0542c-Rv0543c,menE-Rv0543c
Rv0726c-Rv0727c,Rv0726c-fucA
alaV-Rv0997,alaV-Rv0997
Rv1816-Rv1817,Rv1816-Rv1817
Rv2058c-Rv2059,rpmB2-Rv2059
Rv2146c-Rv2147c,Rv2146c-Rv2147c
Rv2376c-mbtH,cfp2-mbtH
mpr11-Rv2561,mpr11-Rv2561
Rv2762c-Rv2763c,Rv2762c-dfrA
PE_PGRS37-Rv2127,PE_PGRS37-ansP1
Rv0340-Rv0341,Rv0340-iniB
Rv0469-Rv0470c,umaA-pcaA
Rv0514-Rv0515,Rv0514-Rv0515
Rv1359-Rv1360,Rv1359-Rv1360
Rv1773c-Rv1774,Rv1773c-Rv1774
Rv2081c-Rv2082,Rv2081c-Rv2082
Rv2528c-Rv2529,mrr-Rv2529
Rv3082c-Rv3083,virS-Rv3083
Rv3476c-PE31,kgtP-PE31
Rv3709c-Rv3710,ask-leuA
Rv0454-Rv0455c,Rv0454-Rv0455c
Rv0891c-Rv0892,Rv0891c-Rv0892
Rv0939-Rv0940c,Rv0939-Rv0940c
Rv1219c-Rv1220c,Rv1219c-Rv1220c
Rv1476-Rv1477,Rv1476-ripA
Rv3707c-Rv3708c,Rv3707c-asd
Rv3753c-Rv3754,Rv3753c-tyrA
thrV-Rv0756c,thrV-Rv0756c
Rv0281-Rv0282,Rv0281-eccA3
Rv0607-vapB28,Rv0607-vapB28
Rv1449c-PE_PGRS27,tkt-PE_PGRS27
Rv2049c-Rv2050,Rv2049c-Rv2050
Rv0858c-Rv0859,dapC-fadA
Rv1064c-Rv1065,lpqV-Rv1065
Rv1911c-Rv1912c,lppC-fadB5
Rv3717-Rv3718c,Rv3717-Rv3718c
Rv0037c-Rv0038,Rv0037c-Rv0038
Rv0879c-Rv0880,Rv0879c-Rv0880
Rv0995-Rv0996,rimJ-Rv0996
Rv1090-PE_PGRS22,celA2b-PE_PGRS22
Rv1225c-Rv1226c,Rv1225c-Rv1226c
EBG00000313325-EBG00000313339,rrs-rrl
Rv1535-Rv1536,Rv1535-ileS
Rv1682-Rv1683,Rv1682-Rv1683
Rv2007c-Rv2008c,fdxA-Rv2008c
Rv2622-Rv2624c,Rv2622-TB31.7
Rv2975c-Rv2976c,Rv2975c-ung
Rv3760-Rv3761c,Rv3760-fadE36
Rv3870-Rv3871,eccCa1-eccCb1
Rv2617c-Rv2618,Rv2617c-Rv2618
Rv0817c-Rv0818,Rv0817c-Rv0818
Rv0910-Rv0911,Rv0910-Rv0911
Rv2733c-Rv2734,Rv2733c-Rv2734
Rv2874-Rv2875,dipZ-mpt70
Rv3768-Rv3769,Rv3768-Rv3769
Rv3326-Rv3327,Rv3326-Rv3327
Rv2924c-Rv2925c,fpg-rnc
Rv2198c-Rv2199c,mmpS3-Rv2199c
Rv0377-Rv0378,Rv0377-Rv0378
Rv0990c-Rv0991c,Rv0990c-Rv0991c
PE16-Rv1431,PE16-Rv1431
PE_PGRS30-Rv1652,PE_PGRS30-argC
Rv2032-Rv2033c,acg-Rv2033c
Rv2220-Rv2221c,glnA1-glnE
Rv2506-Rv2507,Rv2506-Rv2507
Rv2744c-clgR,35kd_ag-clgR
Rv3105c-Rv3106,prfB-fprA
cspA-Rv3649,cspA-Rv3649
Rv1346-leuW,mbtK-leuW
Rv2966c-Rv2967c,Rv2966c-pca
Rv0293c-Rv0294,Rv0293c-tam
Rv1270c-Rv1271c,lprA-Rv1271c
PPE21-Rv1549,PPE21-fadD11.1
Rv2427A-Rv2428,oxyR-ahpC
Rv3399-Rv3400,Rv3399-Rv3400
PE_PGRS56-Rv3513c,PE_PGRS56-fadD18
Rv1986-Rv1987,Rv1986-Rv1987
PPE56-Rv3351c,PPE56-Rv3351c
Rv0104-Rv0105c,Rv0104-rpmB1
Rv0157A-Rv0158,Rv0157A-Rv0158
Rv0985c-Rv0986,mscL-Rv0986
Rv1114-Rv1115,vapC32-Rv1115
Rv1786-PPE25,Rv1786-PPE25
Rv1860-Rv1861,apa-Rv1861
mazE6-Rv1992c,mazE6-ctpG
Rv2466c-Rv2467,Rv2466c-pepN
Rv2587c-Rv2588c,secD-yajC
Rv2674-Rv2675c,msrB-Rv2675c
Rv0908-Rv0909,ctpE-Rv0909
Rv3309c-Rv3310,upp-sapM
Rv1057-Rv1058,Rv1057-fadD14
Rv1026-Rv1027c,Rv1026-kdpE
Rv2002-Rv2003c,fabG3-Rv2003c
Rv2017-Rv2018,Rv2017-Rv2018
Rv2132-Rv2133c,Rv2132-Rv2133c
Rv2637-Rv2638,dedA-Rv2638
Rv0846c-Rv0847,Rv0846c-lpqS
Rv0867c-Rv0868c,rpfA-moaD2
Rv3620c-PPE65,esxW-PPE65
Rv1256c-Rv1257c,cyp130-Rv1257c
Rv0835-Rv0836c,lpqQ-Rv0836c
PPE19-Rv1362c,PPE19-Rv1362c
Rv2273-Rv2274c,Rv2273-mazF8
Rv3838c-Rv3839,pheA-Rv3839
Rv2754c-Rv2755c,thyX-hsdS.1
Rv3847-Rv3848,Rv3847-Rv3848
Rv2224c-Rv2225,caeA-panB
Rv0827c-Rv0828c,kmtR-Rv0828c
Rv3411c-Rv3412,guaB2-Rv3412
Rv3830c-Rv3831,Rv3830c-Rv3831
Rv1074c-Rv1075c,fadA3-Rv1075c
Rv0642c-Rv0643c,mmaA4-mmaA3
Rv0465c-Rv0466,Rv0465c-Rv0466
rpmI-Rv1643,rpmI-rplT
Rv1779c-Rv1780,Rv1779c-Rv1780
Rv2015c-Rv2016,Rv2015c-Rv2016
Rv3260c-Rv3261,whiB2-fbiA
Rv3649-PE33,Rv3649-PE33
PE34-Rv3747,PE34-Rv3747
Rv0572c-Rv0573c,Rv0572c-pncB2
Rv0933-Rv0934,pstB-pstS1
Rv1060-Rv1061,Rv1060-Rv1061
PE27-PPE44,PE27-PPE44
PE22-PPE36,PE22-PPE36
Rv0311-Rv0312,Rv0311-Rv0312
Rv2486-PE_PGRS42,echA14-PE_PGRS42
Rv1302-Rv1303,rfe-Rv1303
Rv3217c-Rv3218,Rv3217c-Rv3218
Rv3278c-Rv3279c,Rv3278c-birA
Rv0349-Rv0350,Rv0349-dnaK
Rv3405c-Rv3406,Rv3405c-Rv3406
Rv0019c-Rv0020c,fhaB-fhaA
Rv0237-Rv0238,lpqI-Rv0238
Rv1641-rpmI,infC-rpmI
Rv2297-Rv2298,Rv2297-Rv2298
Rv2469c-Rv2470,Rv2469c-glbO
Rv3793-Rv3794,embC-embA
Rv1198-Rv1199c,esxL-Rv1199c
Rv1249c-Rv1250,Rv1249c-Rv1250
PPE30-PE_PGRS32,PPE30-PE_PGRS32
Rv2638-Rv2639c,Rv2638-Rv2639c
Rv3450c-Rv3451,eccB4-cut3
Rv3627c-Rv3628,Rv3627c-ppa
Rv0357c-Rv0358,purA-Rv0358
Rv3395A-Rv3396c,Rv3395A-guaA
Rv0456c-Rv0456A,echA2-mazF1
Rv0810c-Rv0811c,Rv0810c-Rv0811c
Rv0837c-Rv0838,Rv0837c-lpqR
Rv1073-Rv1074c,Rv1073-fadA3
Rv1735c-Rv1736c,Rv1735c-narX
Rv2276-Rv2277c,cyp121-Rv2277c
Rv2621c-Rv2622,Rv2621c-Rv2622
Rv0713-rplN,Rv0713-rplN
Rv2161c-PE_PGRS38,Rv2161c-PE_PGRS38
Rv3570c-Rv3571,hsaA-kshB
Rv3825c-Rv3826,pks2-fadD23
PE_PGRS7-Rv0579,PE_PGRS7-Rv0579
Rv3064c-Rv3065,Rv3064c-mmr
Rv0146-Rv0147,Rv0146-Rv0147
Rv1260-Rv1261c,Rv1260-Rv1261c
PPE24-Rv1754c,PPE24-Rv1754c
Rv2160A-Rv2161c,Rv2160c-Rv2161c
Rv0444c-Rv0445c,rskA-sigK
Rv0564c-Rv0565c,gpdA1-Rv0565c
Rv1208-Rv1209,gpgS-Rv1209
Rv1220c-Rv1221,Rv1220c-sigE
Rv1424c-Rv1425,Rv1424c-Rv1425
Rv1611-Rv1612,trpC-trpB
Rv3706c-Rv3707c,Rv3706c-Rv3707c
glnT-Rv1019,glnT-Rv1019
Rv1737c-Rv1738,narK2-Rv1738
proY-Rv3685c,proY-cyp137
Rv3849-Rv3850,espR-Rv3850
Rv2010-Rv2011c,vapC15-Rv2011c
Rv3034c-Rv3035,Rv3034c-Rv3035
Rv3190A-Rv3191c,Rv3190A-Rv3191c
Rv3258c-Rv3259,Rv3258c-Rv3259
Rv0809-Rv0810c,purM-Rv0810c
Rv0043c-Rv0044c,Rv0043c-Rv0044c
Rv3241c-Rv3242c,Rv3241c-Rv3242c
Rv3710-Rv3711c,leuA-dnaQ
PPE60-Rv3479,PPE60-Rv3479
Rv1005c-Rv1006,pabB-Rv1006
Rv3415c-Rv3416,Rv3415c-whiB3
Rv3804c-Rv3805c,fbpA-aftB
Rv0004-Rv0005,Rv0004-gyrB
PE_PGRS1-Rv0110,PE_PGRS1-Rv0110
Rv0912-Rv0913c,Rv0912-Rv0913c
Rv3324A-Rv3325,Rv3324A-Rv3325
Rv2150c-Rv2151c,ftsZ-ftsQ
Rv0078-Rv0078A,Rv0078-Rv0078A
Rv1674c-Rv1675c,Rv1674c-cmr
Rv2247-Rv2248,accD6-Rv2248
valT-glyT,valT-glyT
Rv3819-Rv3820c,Rv3819-papA2
Rv3761c-Rv3762c,fadE36-Rv3762c
Rv1028c-kdpF,kdpD-kdpF
Rv2682c-Rv2683,dxs1-Rv2683
Rv0250c-Rv0251c,Rv0250c-hsp
PE_PGRS4-PPE3,PE_PGRS4-PPE3
PPE6-Rv0306,PPE6-Rv0306
Rv0339c-Rv0340,Rv0339c-Rv0340
Rv1147-Rv1148c,Rv1147-Rv1148c
Rv1365c-Rv1366,rsfA-Rv1366
Rv1706A-Rv1707,Rv1706A-Rv1707
Rv0406c-Rv0407,Rv0406c-fgd1
Rv0188-Rv0189c,Rv0188-ilvD
PE_PGRS32-Rv1804c,PE_PGRS32-Rv1804c
Rv2011c-Rv2012,Rv2011c-Rv2012
Rv2740-PE_PGRS47,ephG-PE_PGRS47
Rv3370c-Rv3371,dnaE2-Rv3371
Rv3905c-Rv3906c,esxF-Rv3906c
PPE2-Rv0257,PPE2-Rv0257
Rv0948c-Rv0949,Rv0948c-uvrD1
Rv0967-Rv0968,csoR-Rv0968
Rv1048c-Rv1049,Rv1048c-Rv1049
Rv2504c-Rv2505c,scoA-fadD35
Rv2860c-Rv2861c,glnA4-mapB
Rv2981c-Rv2982c,ddlA-gpdA2
Rv1951c-Rv1952,Rv1951c-vapB14
Rv2783c-Rv2784c,gpsI-lppU
Rv2970c-Rv2970A,lipN-Rv2970A
Rv0440-Rv0441c,groEL2-Rv0441c
Rv0643c-Rv0644c,mmaA3-mmaA2
Rv1142c-Rv1143,echA10-mcr
Rv1698-Rv1699,mctB-pyrG
Rv1794-Rv1795,Rv1794-eccD5
Rv3013-Rv3014c,Rv3013-ligA
Rv3788-Rv3789,Rv3788-Rv3789
Rv0323c-Rv0324,Rv0323c-Rv0324
Rv2329c-Rv2330c,narK1-lppP
Rv2415c-Rv2416c,Rv2415c-eis
Rv2944-Rv2945c,Rv2944-lppX
Rv3613c-Rv3614c,Rv3613c-espD
Rv1982A-PE_PGRS35,vapB36-PE_PGRS35
Rv2196-Rv2197c,qcrB-Rv2197c
Rv2882c-Rv2883c,frr-pyrH
Rv3402c-Rv3403c,Rv3402c-Rv3403c
Rv3680-Rv3681c,Rv3680-whiB4
Rv2370c-PE_PGRS40,Rv2370c-PE_PGRS40
Rv0133-Rv0134,Rv0133-ephF
Rv1038c-PPE15,esxJ-PPE15
Rv0110-Rv0111,Rv0110-Rv0111
Rv2801A-Rv2802c,mazE9-Rv2802c
Rv2043c-Rv2044c,pncA-Rv2044c
Rv0394c-Rv0395,Rv0394c-Rv0395
Rv0566c-tyrT,Rv0566c-tyrT
Rv1049-Rv1050,Rv1049-Rv1050
Rv3349c-PPE56,Rv3349c-PPE56
Rv3453-Rv3454,Rv3453-Rv3454
Rv3695-Rv3696c,Rv3695-glpK
Rv3916c-Rv3917c,Rv3916c-parB
Rv2072c-Rv2073c,cobL-Rv2073c
PE_PGRS43-Rv2491,PE_PGRS43-Rv2491
PPE34-PPE35,PPE34-PPE35
Rv0571c-Rv0572c,Rv0571c-Rv0572c
Rv0884c-Rv0885,serC-Rv0885
Rv1551-Rv1552,plsB1-frdA
Rv3503c-Rv3504,fdxD-fadE26
Rv3811-PE_PGRS62,Rv3811-PE_PGRS62
Rv2255c-Rv2256c,Rv2255c-Rv2256c
Rv2839c-Rv2840c,infB-Rv2840c
Rv2840c-Rv2841c,Rv2840c-nusA
Rv3136A-Rv3137,Rv3136A-Rv3137
TB9.4-Rv3209,TB9.4-Rv3209
Rv3107c-Rv3108,agpS-Rv3108
MTB000030-glyV,proU-glyV
PE4-Rv0161,PE4-Rv0161
Rv0275c-Rv0276,Rv0275c-Rv0276
Rv1828-Rv1829,Rv1828-Rv1829
Rv3161c-Rv3162c,Rv3161c-Rv3162c
Rv0078B-Rv0079,Rv0078B-Rv0079
Rv0129c-Rv0130,fbpC-htdZ
Rv0459-Rv0460,Rv0459-Rv0460
Rv1036c-Rv1037c,Rv1036c-esxI
glyV-Rv2463,glyV-lipP
Rv2679-Rv2680,echA15-Rv2680
PPE50-PPE51,PPE50-PPE51
Rv3767c-Rv3768,Rv3767c-Rv3768
Rv0898c-Rv0899,Rv0898c-ompA
Rv2312-Rv2313c,Rv2312-Rv2313c
Rv3444c-Rv3445c,esxT-esxU
Rv0071-Rv0072,Rv0071-Rv0072
Rv0620-Rv0621,galK-Rv0621
Rv0666-Rv0667,Rv0666-rpoB
Rv1702c-Rv1703c,Rv1702c-Rv1703c
Rv1275-Rv1276c,lprC-Rv1276c
Rv0107c-Rv0108c,ctpI-Rv0108c
Rv2286c-Rv2287,Rv2286c-yjcE
lipY-Rv3098c,lipY-Rv3098c
Rv3787c-Rv3788,Rv3787c-Rv3788
Rv1004c-Rv1005c,Rv1004c-pabB
Rv1075c-Rv1076,Rv1075c-lipU
Rv2219A-Rv2220,Rv2219A-glnA1
Rv3723-Rv3724A,Rv3723-cut5a
Rv1263-Rv1264,amiB2-Rv1264
Rv0226c-Rv0227c,Rv0226c-Rv0227c
Rv0625c-vapB5,Rv0625c-vapB5
Rv1222-Rv1223,rseA-htrA
Rv1271c-Rv1272c,Rv1271c-Rv1272c
Rv1668c-Rv1669,Rv1668c-Rv1669
Rv2186c-Rv2187,Rv2186c-fadD15
Rv2326c-Rv2327,Rv2326c-Rv2327
PE_PGRS57-Rv3515c,PE_PGRS57-fadD19
Rv3583c-Rv3584,Rv3583c-lpqE
lsr2-Rv3598c,lsr2-lysS
Rv3726-Rv3727,Rv3726-Rv3727
Rv2458-Rv2459,mmuM-Rv2459
Rv1268c-Rv1269c,Rv1268c-Rv1269c
Rv1686c-Rv1687c,Rv1686c-Rv1687c
MTB000055-Rv1727,AS1726-Rv1727
PE25-Rv2432c,PE25-Rv2432c
Rv2579-Rv2580c,dhaA-hisS
Rv2436-Rv2437,rbsK-Rv2437
Rv3432c-Rv3433c,gadB-Rv3433c
Rv3778c-Rv3779,Rv3778c-Rv3779
Rv0346c-Rv0347,ansP2-Rv0347
Rv1837c-Rv1838c,glcB-vapC13
